Customer_ID;Date_purchase;Price
1;02/11/2013;69,5
2;04/11/2013;350
3;05/11/2013;69,99
4;07/11/2013;120
5;07/11/2013;120
6;07/11/2013;120
7;07/11/2013;69
8;08/11/2013;120
9;09/11/2013;69
10;14/11/2013;499
11;14/11/2013;350
12;14/11/2013;187
13;15/11/2013;350
14;16/11/2013;350
15;08/11/2013;33
15;18/11/2013;231
15;15/11/2013;115
15;09/11/2013;212
15;18/11/2013;308
15;08/11/2013;270
15;19/11/2013;250
16;19/11/2013;82
17;23/11/2013;499
18;23/11/2013;499
19;26/11/2013;224
20;27/11/2013;448
21;10/11/2013;602
21;17/11/2013;57
21;18/11/2013;33
21;20/11/2013;229
21;12/11/2013;171
21;01/12/2013;602
22;05/11/2013;277
22;02/12/2013;221
23;09/11/2013;106
23;05/12/2013;43
24;09/12/2013;537
25;24/11/2013;142
25;10/12/2013;356
26;11/12/2013;1648
26;12/12/2013;989
27;14/03/2014;4567
28;08/12/2013;62
28;14/12/2013;41
29;17/12/2013;179
30;30/11/2013;69
30;17/12/2013;89
31;13/12/2013;140
31;21/12/2013;140
32;09/11/2013;467
32;11/12/2013;38
32;15/12/2013;233
32;04/12/2013;389
32;19/12/2013;272
32;23/12/2013;370
33;19/12/2013;368
33;24/12/2013;385
33;24/12/2013;110
33;24/12/2013;330
33;23/12/2013;220
33;24/12/2013;495
34;10/12/2013;324
34;10/12/2013;232
34;25/12/2013;324
35;14/11/2013;4192
36;;784
36;29/12/2013;392
36;21/12/2013;78
36;24/12/2013;470
36;29/12/2013;313
37;04/12/2013;452
37;26/12/2013;193
37;15/12/2013;366
37;25/12/2013;452
37;14/12/2013;409
37;29/12/2013;150
38;10/12/2013;224
38;26/12/2013;224
38;13/12/2013;168
38;30/12/2013;112
39;22/12/2013;39
39;01/01/2014;93
39;01/01/2014;70
39;02/01/2014;187
40;10/11/2013;588
40;03/01/2014;84
41;03/12/2013;398
41;18/12/2013;398
41;27/12/2013;319
41;08/12/2013;425
41;16/12/2013;240
41;04/01/2014;345
42;06/01/2014;412
43;07/05/2014;3690
44;25/01/2014;722
44;05/03/2014;248
44;07/04/2014;248
44;28/03/2014;124
44;23/02/2014;497
44;01/02/2014;150
44;10/02/2014;150
44;06/04/2014;298
44;17/02/2014;697
44;31/01/2014;150
44;23/03/2014;248
44;03/03/2014;174
44;14/04/2014;224
45;22/12/2013;61
45;03/01/2014;107
45;05/01/2014;153
45;11/01/2014;76
46;10/12/2013;686
46;10/12/2013;561
46;19/12/2013;779
46;08/01/2014;343
46;11/12/2013;841
46;24/12/2013;31
46;18/12/2013;498
46;11/01/2014;592
46;17/12/2013;498
46;11/12/2013;905
46;22/12/2013;467
46;13/01/2014;873
47;22/02/2014;668
47;25/02/2014;633
47;10/03/2014;351
47;23/02/2014;1054
47;26/02/2014;70
47;03/03/2014;492
47;03/03/2014;633
47;04/03/2014;1054
47;13/03/2014;633
47;01/03/2014;739
47;09/03/2014;246
47;14/03/2014;246
48;16/01/2014;245
49;18/01/2014;494
50;18/01/2014;77
51;04/03/2014;600
51;09/04/2014;570
51;30/03/2014;570
51;09/03/2014;450
51;07/04/2014;720
51;14/03/2014;60
51;13/03/2014;330
51;02/04/2014;901
51;04/03/2014;540
51;30/03/2014;480
51;11/03/2014;270
51;14/04/2014;691
52;19/12/2013;476
52;27/03/2014;654
52;08/04/2014;119
52;22/04/2014;565
52;25/01/2014;714
52;21/01/2014;178
52;06/04/2014;208
52;17/01/2014;328
52;13/05/2014;625
52;22/04/2014;178
52;20/02/2014;684
52;15/05/2014;773
53;22/01/2014;158
53;24/01/2014;88
53;24/01/2014;176
53;24/01/2014;41
54;01/11/2013;331
54;04/05/2014;612
54;31/12/2013;688
54;06/01/2014;280
54;06/11/2013;612
54;27/02/2014;586
54;25/04/2014;382
54;28/02/2014;714
54;14/05/2014;561
54;23/02/2014;76
54;15/11/2013;357
54;28/05/2014;127
55;28/01/2014;294
56;27/02/2014;277
56;04/03/2014;485
56;08/03/2014;329
56;10/03/2014;155
56;27/02/2014;329
56;03/03/2014;398
56;08/03/2014;485
56;02/03/2014;311
56;07/03/2014;467
56;12/03/2014;225
56;08/03/2014;121
56;12/03/2014;502
57;01/12/2013;536
57;16/12/2013;607
57;24/12/2013;321
57;01/12/2013;
57;24/12/2013;536
57;25/12/2013;501
57;15/12/2013;607
57;10/12/2013;250
57;25/12/2013;285
57;07/12/2013;607
57;12/12/2013;428
57;26/12/2013;428
59;26/11/2013;33
59;05/12/2013;799
59;16/02/2014;932
59;03/12/2013;233
